id,open_at,close_at,meridian,day_of_week,hospital_id
1,9:15,13:30,0,0,2
2,13:00,14:00,0,0,3
3,9:00,12:00,0,0,5
4,9:00,13:00,0,0,6
5,9:00,13:00,0,0,7
6,13:00,14:00,0,0,8
7,9:00,13:00,0,0,9
8,11:00,12:00,0,0,11
9,10:00,13:00,0,0,13
10,9:00,13:00,0,0,14
11,11:00,12:00,0,0,16
12,9:00,13:00,0,0,17
13,9:00,12:00,0,0,18
14,9:00,12:30,0,0,21
15,10:00,13:00,0,0,22
16,9:30,11:30,0,0,23
17,10:00,13:30,0,0,24
18,12:00,13:00,0,0,27
19,12:00,13:00,0,0,30
20,10:00,15:00,0,0,35
21,9:00,12:45,0,0,36
22,13:00,13:30,0,0,37
23,12:00,13:00,0,0,39
24,10:00,13:00,0,0,40
25,10:00,15:00,0,0,42
26,10:30,13:30,0,0,43
27,12:00,13:00,0,0,44
28,12:00,12:30,0,0,46
29,9:00,10:00,0,0,48
30,9:00,13:00,0,0,50
31,9:00,12:00,0,0,51
32,12:00,12:30,0,0,52
33,9:00,12:00,0,0,54
34,9:30,13:00,0,0,55
35,10:00,13:00,0,0,57
36,9:00,13:00,0,0,58
37,12:00,13:00,0,0,59
38,9:00,11:30,0,0,61
39,9:00,11:30,0,0,63
40,10:00,12:00,0,0,65
41,9:00,11:00,0,0,66
42,9:00,12:00,0,0,68
43,9:30,14:30,0,0,69
44,9:00,13:00,0,0,72
45,10:00,12:00,0,0,73
46,8:00,11:00,0,0,74
47,10:00,13:00,0,0,75
48,12:00,13:00,0,0,76
49,10:00,12:00,0,0,79
50,11:00,12:00,0,0,80
51,9:00,11:00,0,0,81
52,9:00,12:00,0,0,82
53,11:00,12:00,0,0,83
54,8:00,12:00,0,0,84
55,9:00,11:00,0,0,85
56,13:00,14:00,0,0,87
57,10:00,13:00,0,0,88
58,10:00,13:00,0,0,90
59,9:30,13:00,0,0,92
60,11:30,12:30,0,0,96
61,12:00,13:00,0,0,98
62,9:00,12:00,0,0,99
63,6:00,11:59,0,0,102
64,9:00,12:00,0,0,104
65,9:00,11:45,0,0,105
66,11:00,12:00,0,0,108
67,9:00,12:00,0,0,112
68,11:00,13:00,0,0,114
69,9:30,11:30,0,0,116
70,8:30,11:30,0,0,117
71,11:00,12:00,0,0,118
72,12:30,13:00,0,0,119
73,9:00,11:30,0,0,120
74,8:00,9:00,0,0,121
75,9:00,12:30,0,0,122
76,12:00,13:00,0,0,123
77,10:00,11:00,0,0,125
78,9:00,13:00,0,0,126
79,12:00,13:00,0,0,127
80,9:00,13:00,0,0,128
81,12:00,13:00,0,0,129
82,10:00,12:00,0,0,135
83,0:00,15:00,0,0,137
84,9:00,12:45,0,0,139
85,9:00,11:00,0,0,140
86,9:00,12:30,0,0,141
87,11:00,12:00,0,0,143
88,9:00,12:00,0,0,145
89,12:00,12:30,0,0,146
90,9:30,12:30,0,0,147
91,11:00,14:00,0,0,148
92,10:00,12:00,0,0,153
93,12:45,14:45,0,0,154
94,9:30,11:00,0,0,155
95,12:00,13:00,0,0,158
96,9:00,12:00,0,0,159
97,12:00,13:00,0,0,160
98,12:00,13:00,0,0,162
99,9:00,13:00,0,0,163
100,11:30,12:00,0,0,164
101,11:00,14:00,0,0,165
102,12:00,13:00,0,0,166
103,10:00,12:00,0,0,169
104,9:30,12:50,0,0,171
105,9:00,11:30,0,0,172
106,8:30,12:00,0,0,173
107,9:00,12:00,0,0,174
108,10:00,12:00,0,0,176
109,9:00,12:00,0,0,177
110,9:00,13:30,0,0,178
111,9:00,11:30,0,0,179
112,8:00,12:00,0,0,180
113,10:00,13:00,0,0,183
114,9:00,12:30,0,0,184
115,9:00,12:00,0,0,185
116,9:00,12:00,0,0,186
117,9:00,11:00,0,0,188
118,9:00,12:00,0,0,189
119,10:00,12:00,0,0,192
120,11:30,12:30,0,0,194
121,9:30,12:30,0,0,195
122,9:30,12:30,0,0,196
123,10:00,13:00,0,0,197
124,10:00,14:00,0,0,199
125,10:00,13:30,0,0,201
126,10:00,14:00,0,0,202
127,9:00,13:00,0,0,204
128,8:00,10:00,0,0,205
129,10:00,13:00,0,0,208
130,10:00,12:00,0,0,210
131,10:00,12:00,0,0,212
132,10:00,13:00,0,0,214
133,8:00,9:00,0,0,215
134,9:00,10:00,0,0,216
135,9:00,12:00,0,0,218
136,10:00,12:00,0,0,222
137,10:00,13:00,0,0,223
138,9:00,12:00,0,0,224
139,0:00,12:00,0,0,225
140,9:00,12:00,0,0,226
141,9:00,12:00,0,0,227
142,9:00,13:00,0,0,230
143,9:00,10:00,0,0,232
144,10:00,13:00,0,0,234
145,9:00,13:00,0,0,236
146,8:00,12:00,0,0,237
147,10:00,12:00,0,0,241
148,11:00,12:00,0,0,242
149,10:00,12:30,0,0,243
150,10:00,13:00,0,0,246
151,9:30,14:30,0,0,248
152,10:00,13:00,0,0,249
153,9:00,13:00,0,0,250
154,9:00,12:30,0,0,251
155,9:00,13:00,0,0,252
156,9:00,12:00,0,0,253
157,10:00,13:00,0,0,256
158,9:00,12:00,0,0,257
159,9:00,12:00,0,0,260
160,9:00,11:00,0,0,262
161,10:00,13:00,0,0,263
162,11:00,12:00,0,0,264
163,9:00,12:00,0,0,266
164,10:00,11:00,0,0,267
165,9:00,12:00,0,0,269
166,8:00,9:00,0,0,270
167,10:00,12:00,0,0,271
168,9:30,12:00,0,0,272
169,8:30,12:00,0,0,273
170,9:00,12:00,0,0,278
171,10:00,13:30,0,0,279
172,12:30,13:30,0,0,280
173,0:00,12:00,0,0,282
174,0:00,12:00,0,0,283
175,9:00,12:00,0,0,284
176,8:00,12:30,0,0,285
177,9:00,12:00,0,0,287
178,12:00,13:00,0,0,288
179,10:00,13:00,0,0,289
180,9:00,12:00,0,0,290
181,9:00,12:00,0,0,292
182,9:00,12:30,0,0,293
183,12:00,13:00,0,0,294
184,10:00,13:00,0,0,295
185,9:00,10:00,0,0,296
186,9:00,11:00,0,0,299
187,10:00,13:00,0,0,300
188,10:00,12:00,0,0,301
189,9:00,10:00,0,0,302
190,10:30,12:00,0,0,304
191,7:00,12:00,0,0,307
192,12:00,13:00,0,0,310
193,9:00,11:00,0,0,311
194,9:00,11:30,0,0,312
195,8:00,11:00,0,0,313
196,9:00,11:00,0,0,314
197,11:00,13:00,0,0,316
198,9:00,12:00,0,0,317
199,10:00,12:00,0,0,318
200,10:00,12:00,0,0,319
201,9:00,11:30,0,0,320
202,11:00,13:30,0,0,325
203,8:30,11:30,0,0,326
204,9:00,14:00,0,0,327
205,9:00,12:00,0,0,328
206,12:00,14:00,0,0,329
207,12:30,13:30,0,0,332
208,10:00,12:30,0,0,336
209,12:00,12:30,0,0,337
210,8:30,12:00,0,0,338
211,10:00,12:00,0,0,339
212,9:00,12:00,0,0,341
213,12:00,13:00,0,0,343
214,10:00,14:00,0,0,344
215,12:00,13:00,0,0,346
216,12:00,13:00,0,0,348
217,9:00,11:00,0,0,349
218,12:00,14:00,0,0,352
219,9:00,12:00,0,0,353
220,9:00,12:00,0,0,354
221,9:00,13:00,0,0,356
222,9:00,13:00,0,0,358
223,11:00,13:00,0,0,359
224,12:00,13:00,0,0,360
225,9:00,14:00,0,0,362
226,10:00,14:00,0,0,363
227,11:00,12:00,0,0,364
228,10:00,13:00,0,0,369
229,9:00,11:00,0,0,371
230,9:00,12:00,0,0,372
231,13:00,13:30,0,0,375
232,12:00,13:00,0,0,377
233,12:30,13:30,0,0,378
234,10:00,11:00,0,0,379
235,11:00,13:00,0,0,380
236,9:00,12:00,0,0,381
237,11:00,13:00,0,0,382
238,9:00,11:00,0,0,383
239,11:00,12:00,0,0,384
240,10:00,13:00,0,0,385
241,9:00,11:30,0,0,386
242,9:00,12:00,0,0,388
243,10:15,13:00,0,0,389
244,9:00,13:00,0,0,390
245,12:00,13:00,0,0,391
246,9:00,12:00,0,0,392
247,8:30,12:30,0,0,394
248,9:00,12:30,0,0,395
249,10:00,12:00,0,0,396
250,10:00,13:00,0,0,397
251,8:00,9:00,0,0,398
252,9:00,12:00,0,0,399
253,9:00,12:00,0,0,400
254,9:00,12:00,0,0,401
255,0:00,12:00,0,0,402
256,9:30,12:30,0,0,404
257,10:00,13:00,0,0,405
258,10:45,12:45,0,0,406
259,11:00,13:00,0,0,408
260,8:00,12:00,0,0,409
261,11:00,12:00,0,0,410
262,11:00,12:00,0,0,411
263,9:00,12:00,0,0,412
264,9:00,12:00,0,0,413
265,11:00,12:00,0,0,414
266,12:00,13:00,0,0,415
267,9:00,13:00,0,0,416
268,9:00,12:00,0,0,417
269,10:00,12:00,0,0,418
270,12:00,13:00,0,0,420
271,11:00,12:00,0,0,422
272,8:00,12:00,0,0,424
273,9:00,12:00,0,0,427
